cle_bibtex,doi,annee,titre,revue,citations,origine,themes,resume,preprint
c2022effects,10.1016/j.aqrep.2022.101423,2022.0,"Effects of polystyrene nanoplastics on oxidative stress, histopathology and intestinal microbiota in largemouth bass (Micropterus salmoides)",Aquaculture Reports,,microbiote poissons,"poisson, tissus",True,False
c2023combined,10.1016/j.aquaculture.2023.739363,2023.0,"Combined effects of cadmium and nanoplastics on oxidative stress, histopathology, and intestinal microbiota in largemouth bass (Micropterus salmoides)",Aquaculture,,microbiote poissons,tissus,True,False
c2026microbiota,10.1016/j.scitotenv.2026.182024,2026.0,"Microbiota under bloom stress: A review and meta-analysis of bloom-associated cyanopeptides, environmental stressors, and microbial shifts in free-living and host gut microbiomes",The Science of The Total Environment,,microbiote poissons,"poisson, tissus",True,False
c2018skin,10.1186/s40168-018-0530-4,2018.0,Skin microbiome of coral reef fish is highly variable and driven by host phylogeny and diet,Microbiome,147.0,manuscrit origine,"methodes-16S, poisson, tissus",True,False
c2019environmental,10.1111/1758-2229.12774,2019.0,Environmental conditions and neutral processes shape the skin microbiome of European catfish ( <i>Silurus glanis</i> ) populations of Southwestern France,Environmental Microbiology Reports,40.0,manuscrit origine,"poisson, tissus",True,False
c2022lactic,10.1051/alr/2022011,2022.0,Lactic acid bacteria as probiotics in sustainable development of aquaculture,Aquatic Living Resources,,microbiote poissons,poisson,True,False
c2023best,10.3389/fmicb.2023.1092216,2023.0,Best practice for wildlife gut microbiome research: A comprehensive review of methodology for 16S rRNA gene investigations,Frontiers in Microbiology,36.0,etat art 16S,tissus,True,False
c2005evolution,10.1111/j.1095-8312.2005.00478.x,2005.0,Evolution of mosaic hybrid zone between invasive and endemic species of Cyprinidae through space and time,Biological Journal of the Linnean Society,,manuscrit origine,"hybridation, poisson",False,False
d2025investigating,10.1007/s13592-025-01183-y,2025.0,Investigating interaction between genotype and microbiome profile in Irish honeybees,Apidologie,,hybrides (2026),hybridation,True,False
d2022microbiome,10.1111/ele.14135,2022.0,The gut microbiome reflects ancestry despite dietary shifts across a hybrid zone.,Ecology Letters,,hybrides (2026),"hybridation, heritabilite, tissus",True,False
d2023effect,10.1111/mec.17192,2023.0,The effect of host admixture on wild house mouse gut microbiota is weak when accounting for spatial autocorrelation,Molecular Ecology,,hybrides (2026),"hybridation, tissus",True,False
d2018simple,10.1186/s40168-018-0605-2,2018.0,Simple statistical identification and removal of contaminant sequences in marker-gene and metagenomics data,Microbiome,2791.0,etat art 16S,methodes-16S,True,False
d2023tilapia,10.1007/s10499-023-01117-4,2023.0,"Tilapia aquaculture, emerging diseases, and the roles of the skin microbiomes in health and disease",Aquaculture International,,microbiote poissons,"poisson, tissus",True,False
d2016environmental,10.1016/j.aquaculture.2016.07.017,2016.0,Environmental and physiological factors shape the gut microbiota of Atlantic salmon parr (Salmo salar L.),Aquaculture,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
d2017seawater,10.1038/s41598-017-13249-8,2017.0,Seawater transfer alters the intestinal microbiota profiles of Atlantic salmon (Salmo salar L.),Scientific Reports,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
d2025microbiota,10.1371/journal.pone.0317657,2025.0,"Gut microbiota signatures of the three Mexican primate species, including hybrid populations",PLoS ONE,,hybrides (2026),"hybridation, heritabilite, tissus",True,False
d2026disruption,10.1007/s10750-026-06120-3,2026.0,Disruption and resilience: a systematic review on how heat stress affects gut microbiota and immunity in wild freshwater fish,Hydrobiologia,,microbiote poissons,"poisson, tissus",True,False
d2018methods,10.1111/2041-210x.13115,2018.0,Methods for normalizing microbiome data: An ecological perspective,Methods in Ecology and Evolution,,raréfaction,"rarefaction, methodes-16S",True,False
d2020picrust,10.1038/s41587-020-0548-6,2020.0,PICRUSt2 for prediction of metagenome functions,Nature Biotechnology,5595.0,etat art 16S,methodes-16S,True,False
d2004characterization,10.1128/jcm.42.11.5286-5297.2004,2004.0,"Characterization of ""<i>Candidatus Piscichlamydia salmonis</i>"" (Order Chlamydiales), a Chlamydia-Like bacterium associated with epitheliocystis in farmed atlantic salmon (<i>Salmo salar</i>)",Journal of Clinical Microbiology,130.0,manuscrit origine,"hybridation, methodes-16S, poisson, tissus",True,False
corse2015when,10.1371/journal.pone.0142592,2015.0,When Anthropogenic River Disturbance Decreases Hybridisation between Non-Native and Endemic Cyprinids and Drives an Ecomorphological Displacement towards Juvenile State in Both Species,PLoS ONE,15.0,systeme etude,"hybridation, systeme-etude, poisson, tissus",True,False
guivier2017microbiota,10.1007/s00248-017-1077-9,2017.0,Microbiota Diversity Within and Between the Tissues of Two Wild Interbreeding Species,Microbial Ecology,15.0,systeme etude,"hybridation, systeme-etude, poisson, tissus",True,False
e2021enhancing,10.1038/s41598-021-01636-1,2021.0,Enhancing diversity analysis by repeatedly rarefying next generation sequencing data describing microbial communities,Scientific Reports,,raréfaction,"rarefaction, methodes-16S",True,False
f2019disentangling,10.1016/j.ijpara.2019.06.001,2019.0,Disentangling the effect of host genetics and gut microbiota on resistance to an intestinal parasite,International Journal for Parasitology,6.0,manuscrit origine,"heritabilite, tissus",True,False
f2014unifying,10.1186/2049-2618-2-15,2014.0,"Unifying the analysis of high-throughput sequencing datasets: characterizing RNA-seq, 16S rRNA gene sequencing and selective growth experiments by compositional data analysis",Microbiome,1173.0,etat art 16S,"rarefaction, tissus",True,False
f2023host,10.1016/j.heliyon.2023.e16511,2023.0,Host habitat shapes the core gut bacteria of decapod crustaceans: A meta-analysis,Heliyon,,microbiote poissons,"rarefaction, poisson, tissus",True,False
f2019diet,10.3389/fimmu.2019.00243,2019.0,Diet in the driving seat: natural diet-immunity-microbiome interactions in wild fish,Frontiers in Immunology,24.0,manuscrit origine,poisson,True,False
f2026exploring,10.1007/s12602-025-10841-7,2026.0,Exploring the Probiotic and Antimicrobial Potential of Pediococcus Pentosaceus Isolates from Fish: Genomic and Functional Perspectives,Probiotics and Antimicrobial Proteins,,microbiote poissons,poisson,True,False
f2017aquatic,10.1111/mec.14255,2017.0,"Aquatic animals promote antibiotic resistance gene dissemination in water via conjugation: Role of different regions within the zebra fish intestinal tract, and impact on fish intestinal microbiota",Molecular Ecology,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
f2009microbial,10.1038/nature08058,2009.0,Microbial community structure and its functional implications,Nature,1290.0,manuscrit origine,cadre-general,True,False
g2016rrna,10.1128/msystems.00032-16,2016.0,16S rRNA amplicon sequencing for epidemiological surveys of bacteria in wildlife,mSystems,129.0,manuscrit origine,methodes-16S,True,False
g2023disruption,10.1186/s40168-023-01558-2,2023.0,Disruption of fish gut microbiota composition and holobiont’s metabolome during a simulated Microcystis aeruginosa (Cyanobacteria) bloom,Microbiome,,microbiote poissons,"hybridation, poisson, tissus",True,False
g2023insect,10.1093/af/vfad016,2023.0,Insect meals in a circular economy and applications in monogastric diets,Animal Frontiers,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
g2007updating,10.1159/000106089,2007.0,Updating the Importance of Lactic Acid Bacteria in Fish Farming: Natural Occurrence and Probiotic Treatments,Microbial Physiology,,microbiote poissons,"poisson, tissus",True,False
g1998research,,1998.0,"Research on european cyprinids polyspecific complex : systematics, speciation and hybrid zones. Thèse de doctorat",,,manuscrit origine,"hybridation, poisson",False,False
g2018therapeutic,10.3389/fimmu.2018.01824,2018.0,Therapeutic Effect of Intestinal Autochthonous Lactobacillus reuteri P16 Against Waterborne Lead Toxicity in Cyprinus carpio,Frontiers in Immunology,,microbiote poissons,"poisson, tissus",True,False
g2019canals,10.1007/s10750-018-3843-1,2019.0,Canals as ecological corridors and hybridization zones for two cyprinid species,Hydrobiologia,0.0,manuscrit origine,"hybridation, poisson",False,False
g2019microbiota,10.1111/fwb.13437,2019.0,"Microbiota associated with the skin, gills, and gut of the fish Parachondrostoma toxostoma from the Rhône basin",Freshwater Biology,,manuscrit origine,"systeme-etude, poisson, tissus",False,False
h2022adverse,10.1016/j.scitotenv.2022.159270,2022.0,"Adverse effects of polystyrene microplastics in the freshwater commercial fish, grass carp (Ctenopharyngodon idella): Emphasis on physiological response and intestinal microbiome",The Science of The Total Environment,,microbiote poissons,"poisson, tissus",True,False
h2020recent,10.1186/s41936-020-00190-y,2020.0,Recent studies on probiotics as beneficial mediator in aquaculture: a review,The Journal of Basic and Applied Zoology,,microbiote poissons,"poisson, tissus",True,False
h2023sustainable,10.3390/ani13101633,2023.0,Sustainable Fish Feeds with Insects and Probiotics Positively Affect Freshwater and Marine Fish Gut Microbiota,Animals,,microbiote poissons,"poisson, tissus",True,False
h2023effects,10.1016/j.aquaculture.2023.739391,2023.0,"Effects of dietary synbiotics and biofloc meal on the growth, tissue histomorphology, whole-body composition and intestinal microbiota profile of Nile tilapia (Oreochromis niloticus) cultured at different salinities",Aquaculture,,microbiote poissons,tissus,True,False
h2022salinity,10.1007/s00253-022-11895-1,2022.0,Salinity significantly affects intestinal microbiota and gene expression in striped catfish juveniles,Applied Microbiology and Biotechnology,,microbiote poissons,tissus,True,False
h2002phylogenetic,10.1007/s00248-002-1011-6,2002.0,Phylogenetic Analysis of Intestinal Microflora Indicates a Novel Mycoplasma Phylotype in Farmed and Wild Salmon,Microbial Ecology,,microbiote poissons,"poisson, tissus",True,False
h2023microbiome,10.1007/978-981-99-0852-3_3,2023.0,Gut Microbiome and Fish Health: An Overview in Finfish Aquaculture Prospective,,,microbiote poissons,"poisson, tissus",True,False
h2023effectsa,10.1016/j.envpol.2023.121528,2023.0,Effects of microplastics and lead exposure on gut oxidative stress and intestinal inflammation in common carp (Cyprinus carpio L.),Environmental Pollution,,microbiote poissons,"poisson, tissus",True,False
h2020analysis,10.1038/s41467-020-17041-7,2020.0,Analysis of compositions of microbiomes with bias correction,Nature Communications,1803.0,etat art 16S,methodes-16S,True,False
i2025plant,10.1016/j.jnc.2025.127172,2025.0,Plant conservation hologenomics: integrating population genomics with mycobiome assessments for protected orchid species,Journal for Nature Conservation,,hybrides (2026),hybridation,True,False
j2022sarracenia,10.1111/1462-2920.15993,2022.0,Sarracenia pitcher plant-associated microbial communities differ primarily by host species across a longitudinal gradient.,Environmental Microbiology,,hybrides (2026),hybridation,True,False
j2008plant,10.1890/07-0337.1,2008.0,Plant-soil microorganism interactions: heritable relationship between plant genotype and associated soil microorganisms.,Ecology,,hybrides (2026),"hybridation, heritabilite",True,False
j2020effects,10.1021/acs.est.9b05995,2020.0,"Effects of Virgin Micro- and Nanoplastics on Fish: Trends, Meta-Analysis, and Perspectives",Environmental Science \& Technology,,microbiote poissons,"poisson, tissus",True,False
j2015phylogenetic,10.1016/j.micres.2015.01.009,2015.0,Phylogenetic diversity and biological activity of culturable Actinobacteria isolated from freshwater fish gut microbiota,Microbiological Research,,microbiote poissons,"poisson, tissus",True,False
j2018phylogenetic,10.1128/msystems.00021-18,2018.0,Phylogenetic Placement of Exact Amplicon Sequences Improves Associations with Clinical Information,mSystems,450.0,etat art 16S,"methodes-16S, tissus",True,False
j2013diversity,10.1073/pnas.1302837110,2013.0,Diversity and heritability of the maize rhizosphere microbiome under field conditions,Proceedings of the National Academy of Sciences,,hybrides (2026),heritabilite,True,False
j2023probiotic,10.1016/j.aquaculture.2023.740506,2023.0,"Probiotic Lactobacillus plantarum SHY21-2 protected zebrafish against Aeromonas hydrophila infection by maintaining intestinal barrier integrity, inhibiting inflammatory and oxidative stress responses, and regulating intestinal microbiome",Aquaculture,,microbiote poissons,tissus,True,False
j2023comparison,10.1002/ece3.10499,2023.0,"A comparison of digestive strategies for fishes with different feeding habits: Digestive enzyme activities, intestinal morphology, and gut microbiota",Ecology and Evolution,,microbiote poissons,"poisson, tissus",True,False
j2024microbiome,10.3389/fpls.2024.1445713,2024.0,The microbiome and metatranscriptome of a panel from the Sarracenia mapping population reveal complex assembly and function involving host influence,Frontiers in Plant Science,,hybrides (2026),heritabilite,True,False
j2017amphibian,10.1007/s10531-016-1272-x,2017.0,"The amphibian microbiome: natural range of variation, pathogenic dysbiosis, and role in conservation",Biodiversity and Conservation,0.0,manuscrit origine,cadre-general,False,False
j2025microbiota,10.3390/microorganisms13071449,2025.0,Gut Microbiota Contribute to Heterosis for Growth Trait and Muscle Nutrient Composition in Hybrid Largemouth Bass (Micropterus salmoides),Microorganisms,,hybrides (2026),"hybridation, tissus",True,False
j2024determinants,10.1111/mec.17370,2024.0,Determinants of microbiome composition: Insights from free‐ranging hybrid zebras (Equus quagga × grevyi),Molecular Ecology,,hybrides (2026),"hybridation, methodes-16S, tissus",True,False
j2014ecological,,2014.0,Ecological and evolutionary forces shaping variation in the wild mouse gut microbiome,Max Planck Digital Library,,hybrides (2026),"hybridation, tissus",True,False
k2021genomes,10.1128/msystems.01342-20,2021.0,Genomes of Gut Bacteria from Nasonia Wasps Shed Light on Phylosymbiosis and Microbe-Assisted Hybrid Breakdown,mSystems,,hybrides (2026),"hybridation, tissus",True,False
k2024mother,10.1101/2024.10.15.618440,2024.0,Are you my mother?: When host genetics and gut microbiota tell different phylogenetic stories in the Africanized honey bee hybrid (Apis mellifera scutellata x sspp.),bioRxiv,,hybrides (2026),"hybridation, heritabilite, tissus",True,True
k2012analysis,10.1371/journal.pone.0051475,2012.0,"Analysis of Stomach and Gut Microbiomes of the Eastern Oyster (Crassostrea virginica) from Coastal Louisiana, USA",PLoS ONE,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
k2019species,10.1111/ele.13240,2019.0,Species identity dominates over environment in shaping the microbiota of small mammals,Ecology Letters,112.0,manuscrit origine,"heritabilite, tissus",True,False
k2014dietary,10.1002/mbo3.202,2014.0,Dietary differences are reflected on the gut prokaryotic community structure of wild and commercially reared sea bream (Sparus aurata),MicrobiologyOpen,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
k2020dissecting,10.1186/s40168-020-0784-5,2020.0,Dissecting the factors shaping fish skin microbiomes in a heterogeneous inland water system,Microbiome,,microbiote poissons,"poisson, tissus",True,False
k2026exploring,10.3389/fimmu.2026.1733414,2026.0,Exploring the host-pathogen interaction and genome analysis of multidrug-resistant bacterial pathogen Proteus penneri isolated from Labeo rohita,Frontiers in Immunology,,microbiote poissons,"poisson, tissus",True,False
l2019genes,10.1098/rspb.2019.0431,2019.0,"Genes, geology and germs: gut microbiota across a primate hybrid zone are explained by site soil properties, not host species",Proceedings of the Royal Society B,,hybrides (2026),"hybridation, heritabilite, tissus",True,False
l2013predictive,10.1038/nbt.2676,2013.0,Predictive functional profiling of microbial communities using 16S rRNA marker gene sequences,Nature Biotechnology,8302.0,manuscrit origine,methodes-16S,True,False
l2021microbiome,10.1126/science.aba5483,2021.0,Gut microbiome heritability is nearly universal but environmentally contingent,Science,,hybrides (2026),"heritabilite, tissus",True,False
l2022torula,10.1038/s41598-021-04413-2,2022.0,Torula yeast in the diet of Atlantic salmon Salmo salar and the impact on growth performance and gut microbiome,Scientific Reports,,microbiote poissons,"poisson, tissus",True,False
l2012host,10.1007/s12275-012-1340-1,2012.0,Host species as a strong determinant of the intestinal microbiota of fish larvae,The Journal of Microbiology,,microbiote poissons,"poisson, tissus",True,False
l2014comparative,10.1007/s00248-014-0480-8,2014.0,Comparative Analysis of the Intestinal Bacterial Communities in Different Species of Carp by Pyrosequencing,Microbial Ecology,,microbiote poissons,"poisson, tissus",True,False
l2017bacterial,10.1007/s00248-017-0967-1,2017.0,Bacterial Signatures of “Red-Operculum” Disease in the Gut of Crucian Carp (Carassius auratus),Microbial Ecology,,microbiote poissons,"poisson, tissus",True,False
l2022impacts,10.1016/j.jhazmat.2022.129995,2022.0,"Impacts of polystyrene nanoplastics at the environmentally relevant and sub-lethal concentrations on the oxidative stress, immune responses, and gut microbiota to grass carp (Ctenopharyngodon idella)",Journal of Hazardous Materials,,microbiote poissons,"poisson, tissus",True,False
l2022consistent,10.1186/s42523-021-00159-4,2022.0,Consistent changes in the intestinal microbiota of Atlantic salmon fed insect meal diets,Animal Microbiome,,microbiote poissons,"poisson, tissus",True,False
l2022ethylhexyl,10.1016/j.watres.2022.118608,2022.0,Di-(2-ethylhexyl) phthalate exacerbated the toxicity of polystyrene nanoplastics through histological damage and intestinal microbiota dysbiosis in freshwater Micropterus salmoides,Water Research,,microbiote poissons,tissus,True,False
l2025influence,,2025.0,The influence of host genetics and microbial interactions on the gut microbiome composition of a wild baboon population,Open Scholarship Institutional Repository (Washington University in St. Louis),,hybrides (2026),"hybridation, heritabilite, tissus",True,False
l2025innovative,10.1016/j.meafoo.2025.100215,2025.0,Innovative protein sources from freshwater and marine environments - A comprehensive review,Measurement Food,,microbiote poissons,"poisson, tissus",True,False
l2024hybridization,10.3389/fmicb.2024.1387957,2024.0,Hybridization alters red deer gut microbiome and metabolites,Frontiers in Microbiology,,hybrides (2026),"hybridation, tissus",True,False
l2020analysis,10.1038/s41522-020-00160-w,2020.0,Analysis of microbial compositions: a review of normalization and differential abundance analysis,npj Biofilms and Microbiomes,,raréfaction,"rarefaction, methodes-16S",True,False
l2016microbiome,10.1038/srep24340,2016.0,The gut microbiome and degradation enzyme activity of wild freshwater fishes influenced by their trophic levels,Scientific Reports,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
l2022characteristics,10.1016/j.scitotenv.2022.159180,2022.0,Characteristics of microplastic pollution in golden pompano (Trachinotus ovatus) aquaculture areas and the relationship between colonized-microbiota on microplastics and intestinal microflora,The Science of The Total Environment,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
l2023effects,10.1016/j.aquatox.2023.106482,2023.0,"Effects of salinity on growth, physiology, biochemistry and gut microbiota of juvenile grass carp (Ctenopharyngodon idella)",Aquatic Toxicology,,microbiote poissons,"poisson, tissus",True,False
l2025nutritional,10.1186/s40104-025-01215-8,2025.0,Nutritional strategies for Nile tilapia: protein and carbohydrate balances in saline-alkaline aquaculture,Journal of Animal Science and Biotechnology/Journal of animal science and biotechnology,,microbiote poissons,"poisson, tissus",True,False
l2026microbiome,10.3390/ani16050840,2026.0,"Gut Microbiome Signatures Across Migratory, Sedentary, and Aquaculture Ecotypes of Coilia nasus",Animals,,microbiote poissons,"methodes-16S, poisson, tissus",True,False
l2014teleost,10.3389/fmicb.2014.00207,2014.0,"Teleost microbiomes: the state of the art in their characterization, manipulation and importance in aquaculture and fisheries",Frontiers in Microbiology,674.0,manuscrit origine,"poisson, tissus",True,False
l2015biogeography,10.1038/ismej.2015.189,2015.0,The biogeography of the atlantic salmon (Salmo salar) gut microbiome,The ISME Journal,,microbiote poissons,"poisson, tissus",True,False
l2022temporal,10.1016/j.aquaculture.2022.738352,2022.0,Temporal changes in skin and gill microbiomes of Atlantic salmon in a recirculating aquaculture system – Why do they matter?,Aquaculture,,microbiote poissons,"poisson, tissus",True,False
l2018correcting,10.1186/s40168-018-0420-9,2018.0,Correcting for 16S rRNA gene copy numbers in microbiome surveys remains an unsolved problem,Microbiome,386.0,manuscrit origine,methodes-16S,True,False
l2005unifrac,10.1128/aem.71.12.8228-8235.2005,2005.0,UniFrac: a new phylogenetic method for comparing microbial communities,Applied and Environmental Microbiology,7664.0,"etat art 16S, manuscrit origine",methodes-16S,True,False
m2023microbial,10.1038/s42003-023-04919-7,2023.0,Gut microbial communities of hybridising pygmy angelfishes reflect species boundaries,Communications Biology,,hybrides (2026),"hybridation, poisson, tissus",True,False
m2020deep,10.1038/s41396-021-00927-9,2020.0,Deep-sea mussels from a hybrid zone on the Mid-Atlantic Ridge host genetically indistinguishable symbionts,The ISME Journal,,hybrides (2026),"hybridation, heritabilite",True,False
m2018intestinal,10.1101/312231,2018.0,Intestinal microbiota of whitefish (Coregonus sp.) species pairs and their hybrids in natural and controlled environment,bioRxiv,,hybrides (2026),"hybridation, methodes-16S, poisson, tissus",True,True
m2021multivariable,10.1371/journal.pcbi.1009442,2021.0,Multivariable association discovery in population-scale meta-omics studies,PLoS Computational Biology,2160.0,etat art 16S,rarefaction,True,False
m2015analysis,10.3402/mehd.v26.27663,2015.0,Analysis of composition of microbiomes: a novel method for studying microbial composition,Microbial Ecology in Health \& Disease,1844.0,manuscrit origine,"rarefaction, tissus",True,False
m2010characterization,10.1016/j.aquaculture.2010.07.014,2010.0,Characterization of rainbow trout (Oncorhynchus mykiss) intestinal microbiota and inflammatory marker gene expression in a recirculating aquaculture system,Aquaculture,,microbiote poissons,"poisson, tissus",True,False
m2025pseudocapillaria,10.1016/j.crpvbd.2025.100265,2025.0,Pseudocapillaria tomentosa (Nematoda: Capillariidae) in fish and its significance in comprehending host-parasite relationships: A review,Current Research in Parasitology and Vector-Borne Diseases,,microbiote poissons,"poisson, tissus",True,False
m2024association,10.1098/rspb.2024.0238,2024.0,Association between the gut microbiome and carotenoid plumage phenotype in an avian hybrid zone,Proceedings of the Royal Society B,,hybrides (2026),"hybridation, tissus",True,False
m2026genetic,10.1111/mec.70498,2026.0,Genetic Links to Gut Microbiome Variation in the Yellow-Rumped Warbler Hybrid Zone.,Molecular Ecology,,hybrides (2026),"hybridation, methodes-16S, tissus",True,False
m2022considerations,10.1093/jas/skab346,2022.0,Considerations and best practices in animal science 16S ribosomal RNA gene sequencing microbiome studies,Journal of Animal Science,,raréfaction,methodes-16S,True,False
